latitude,longitude,depth,mag,gap,dmin,rms,horizontalError,depthError,magError,meter
1.061,126.3178,69.84,4.7,71,1.087,1.29,7.9,7.3,0.084,43
3.5413,126.7379,47.01,4.2,154,2.821,1.21,9.2,14.4,0.176,9
-0.9342,127.0522,48.37,4.4,84,1.723,1.01,7.5,8.3,0.13,17
-8.4458,119.6921,164.27,4.6,72,2.524,1.01,7.7,7.3,0.116,22
-9.7342,119.4604,35,4.1,82,2.951,0.99,3.6,2,0.184,8
7.7941,126.946,34.4,4.6,122,1.534,0.54,10.3,6.5,0.141,15
6.1595,127.0762,61.89,4.3,199,1.74,0.92,6.6,13.8,0.16,11
-7.6675,108.5919,124.75,4.2,206,1.929,1.06,9.5,13.4,0.199,7
-9.3978,125.2633,10,4.5,103,1.044,1.01,6.4,1.9,0.171,10
6.52,124.4853,424.15,4.2,110,6.103,0.43,13,11.5,0.128,17
1.8855,127.0792,103.76,5.2,31,1.143,0.97,6,3.2,0.071,19
2.2413,127.4771,121.22,4.5,109,1.463,0.57,9.8,7,0.078,48
-8.3071,115.5272,22.71,4.9,43,1.37,0.76,4.1,4.8,0.093,11
-6.5071,104.6146,35,5,58,2.697,1.04,8.2,1.9,0.075,17
6.284,125.951,119.51,5.1,52,0.863,0.87,8.5,5.3,0.041,194
-0.0054,123.3839,142.45,4.9,44,1.197,0.7,7.5,6.6,0.081,48
1.3507,97.108,36.78,4.4,172,0.469,0.61,6.8,8.2,0.103,27
1.6514,124.3338,275.83,4.3,114,3.097,1.03,11,12.1,0.16,12
2.788,126.4527,69.89,4.4,118,2.201,0.78,9.2,12,0.155,12
-7.7906,121.7976,296.4,4.1,84,0.945,0.79,11.1,8.3,0.158,11
-5.2828,102.8109,13.46,4.3,191,0.927,0.81,9.2,9.2,0.169,10
-3.8439,127.8783,53.28,4.2,85,4.458,0.83,5.4,12.2,0.141,14
-6.9661,125.0093,558.58,4.3,76,2.866,0.7,13.7,10.3,0.119,20
-9.1298,117.0188,108.96,4.1,83,2.908,1.09,7.5,8.5,0.135,15
0.2369,122.4522,169.25,4.4,85,1.309,0.89,9.3,7.1,0.095,32
7.7035,123.4376,13.43,4.5,92,2.215,0.78,5.5,5.6,0.128,18
-0.0122,124.6633,35,4.4,46,2.15,1.22,4,1.9,0.123,19
2.6342,128.2831,36.76,4.3,179,2.064,1.25,10.2,9.6,0.148,13
-7.6329,127.976,146,4.3,79,3.31,1.19,7.2,11.1,0.154,13
-1.2388,120.5152,10,5.1,33,2.264,1.24,5.5,1.8,0.052,122
4.9883,126.2331,95.18,4.1,151,4.338,1.25,8.5,12.7,0.158,11
2.3161,127.9709,10,4,178,1.648,0.48,10.7,2,0.157,11
3.9676,126.5721,60.36,4.4,108,3.236,0.51,8.1,6.5,0.092,34
0.1672,121.1816,119.32,4.4,150,1.019,0.91,8.2,9.1,0.117,21
3.3623,126.6916,71.98,4.5,76,2.66,0.55,9.8,8.7,0.089,37
-3.8268,127.7703,10,5,46,4.56,0.7,5.6,1.9,0.063,79
-3.8333,127.7399,10,4.8,52,4.589,1.17,7.6,1.9,0.087,41
-4.6191,125.5754,432.65,4.5,40,4.524,1.2,7.8,7.1,0.072,57
